Relation_Count,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe,row_number,group
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e3,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Chad's enemy?,Chad's enemy,r,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,16,0
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's enemy?,Frank's enemy,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,5,1
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's enemy?,Frank's enemy,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,6,2
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_c5,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Autumn's child?,Autumn's child,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,11,3
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f1,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Brooke's friend?,Brooke's friend,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,19,4
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's enemy?,Frank's enemy,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,7,5
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Daniel's friend?,Daniel's friend,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,4,6
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Daniel's friend?,Daniel's friend,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,2,7
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Daniel's friend?,Daniel's friend,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,3,8
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f1,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Brooke's friend?,Brooke's friend,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   ,18,9
