Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_efe5,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Autumn's enemy's friend's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Autumn's enemy's friend's enemy,s,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_fee4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Erin's enemy's enemy's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's enemy's enemy's friend,r,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_fpf2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's friend's parent's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Frank's friend's parent's friend,w,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_ecp4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Erin's parent's child's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's parent's child's enemy,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_epe4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Erin's enemy's parent's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's enemy's parent's enemy,k,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_pcp2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's parent's child's parent? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Frank's parent's child's parent,r,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_cpc3,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Chad's child's parent's child? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Chad's child's parent's child,q,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_eef0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Daniel's friend's enemy's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Daniel's friend's enemy's enemy,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_ffc3,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Chad's child's friend's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Chad's child's friend's friend,q,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_pfe5,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Autumn's enemy's friend's parent? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Autumn's enemy's friend's parent,r,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_cpc1,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Brooke's child's parent's child? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Brooke's child's parent's child,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_cpf0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Daniel's friend's parent's child? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Daniel's friend's parent's child,v,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
4,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_pff2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = r;;2. Brooke's friend = k;;;;So the answer is k;;;;Now answer the following question:;;Who is Frank's friend's friend's parent? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Frank's friend's friend's parent,r,k;;q;;r;;s;;v;;w,Autumn = w  Autumn's enemy = q  Autumn's friend = k  Daniel's parent = k  Autumn's child = s  ;;Brooke = r  Brooke's enemy = k  Brooke's friend = s  Erin's parent = w    Brooke's child = v  ;;Chad = k    Chad's enemy = r    Chad's friend = w    Frank's parent = r   Chad's child = q    ;;Daniel = q  Daniel's enemy = w  Daniel's friend = v  ;;Erin = s    Erin's enemy = v    Erin's friend = r    ;;Frank = v   Frank's enemy = s   Frank's friend = q   
