Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ef0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the enemy of the friend of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the enemy of the friend of Christina,enemy(friend(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_fe0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the friend of the enemy of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the friend of the enemy of Christina,friend(enemy(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ce0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the child of the enemy of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the child of the enemy of Christina,child(enemy(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_fc0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the friend of the child of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the friend of the child of Christina,friend(child(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ec0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the enemy of the child of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the enemy of the child of Christina,enemy(child(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_pc0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the parent of the child of Christina""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the parent of the child of Christina,parent(child(christina)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ff1,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the friend of the friend of Amber""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the friend of the friend of Amber,friend(friend(amber)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ef1,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the enemy of the friend of Amber""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the enemy of the friend of Amber,enemy(friend(amber)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_cf1,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the child of the friend of Amber""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the child of the friend of Amber,child(friend(amber)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
3,R,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_R_ee1,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""the enemy of the parent of Amber""?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = parent(amber);;2. the enemy of the parent of Amber = enemy(parent(amber));;;;So the answer is enemy(parent(amber));;;;What is the formula for ""the enemy of the enemy of Amber""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",the enemy of the enemy of Amber,enemy(enemy(amber)),Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the friend of Christina = friend(christina);;the friend of Amber = friend(amber);;the enemy of Dana = enemy(dana);;the enemy of Bryan = enemy(bryan);;the parent of Elizabeth = parent(elizabeth);;the child of Felicia = child(felicia)
