Relation_Count,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe,row_number,group
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Amber's friend?,Amber's friend,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,120,0
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e2,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Dana's enemy?,Dana's enemy,q,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,103,1
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e3,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Bryan's enemy?,Bryan's enemy,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,114,2
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Christina's friend?,Christina's friend,h,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,111,3
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_e3,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Bryan's enemy?,Bryan's enemy,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,116,4
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_p4,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Elizabeth's parent?,Elizabeth's parent,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,105,5
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Amber's friend?,Amber's friend,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,119,6
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Amber's friend?,Amber's friend,y,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,117,7
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Christina's friend?,Christina's friend,h,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,112,8
2,L,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_L_f0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Amber's parent's enemy?;;;;Here are the steps to arrive at the answer:;;1. Amber's parent = t;;2. Bryan's enemy = y;;;;So the answer is y;;;;Now answer the following question:;;Who is Christina's friend?,Christina's friend,h,h;;q;;s;;t;;v;;y,Amber = h      Amber's enemy = v      Amber's friend = y      Amber's parent = t      Bryan's child = h      ;;Bryan = t      Bryan's enemy = y      Bryan's friend = q      Dana's parent = q       Christina's child = v  ;;Christina = y  Christina's enemy = t  Christina's friend = h  Elizabeth's parent = y  Felicia's child = s    ;;Dana = s       Dana's enemy = q       Dana's friend = v       ;;Elizabeth = v  Elizabeth's enemy = h  Elizabeth's friend = s  ;;Felicia = q    Felicia's enemy = s    Felicia's friend = t    ,109,9
