Results_RT,MD5_hash_of_IP_address,Controller_name,Order_number_of_item,Inner_element_number,Label,Latin_Square_Group,PennElementType,PennElementName,Parameter,ParticipantAnswer,Eventtime,item,Complexity,Branching,Approach,Representation,Question,RT,Group,questionId,Comment,V2,consent,country,country_specified,education,gender,representation,representation_specified,study,Relation_Count,Answer,Experiment,education_specified,study_specified,Correct,Correct_forgiving,Model_variant,Reasoning
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,12,0,experiment,NULL,DropDown,answer,Selected,Elizabeth,1749027609113.0,125,4,L,Extensional,English,Amber's friend's friend's enemy,1749027495855,13,0_L_eff1,4,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,Elizabeth,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,16,0,experiment,NULL,DropDown,answer,Selected,Felicia,1749027658307.0,50,4,R,Extensional,English,the enemy of the enemy of the enemy of Dana,1749027609720,13,0_R_eee2,5,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,Felicia,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,4,0,experiment,NULL,DropDown,answer,Selected,Amber,1749027673686.0,87,3,L,Extensional,English,Amber's friend's friend,1749027659168,13,0_L_ff1,0,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,Amber,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,11,0,experiment,NULL,DropDown,answer,Selected,s,1749027725946.0,122,4,L,Extensional,Abstract,Christina's enemy's friend's child,1749027674039,13,0_L_cfe0,2,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,s,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,18,0,experiment,NULL,TextInput,answer,Final,enemy(friend(enemy(christine))),1749027780770.0,41,4,R,Intensional,English,the enemy of the friend of the enemy of Christina,1749027726762,13,0_R_efe0,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,enemy(friend(enemy(christina))),exp1,,,False,False,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,9,0,experiment,NULL,TextInput,answer,Final,w(s(t)),1749027908783.0,22,3,R,Intensional,Abstract,the enemy of the friend of Bryan,1749027780772,13,0_R_ef3,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,w(s(t)),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,13,0,experiment,NULL,TextInput,answer,Final,w(t(s(q))),1749027958398.0,152,4,L,Intensional,Abstract,Felicia's friend's child's enemy,1749027908785,13,0_L_ecf5,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,w(t(s(q))),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,8,0,experiment,NULL,DropDown,answer,Selected,Christina,1749027981947.0,11,3,R,Extensional,English,the parent of the enemy of Amber,1749027958400,13,0_R_pe1,2,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,Christina,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,15,0,experiment,NULL,DropDown,answer,Selected,h,1749028016161.0,65,4,R,Extensional,Abstract,the friend of the friend of the enemy of Elizabeth,1749027982515,13,0_R_ffe4,0,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,h,exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,14,0,experiment,NULL,TextInput,answer,Final,child(parent(child(felicia))),1749028064894.0,160,4,L,Intensional,English,Felicia's child's parent's child,1749028016651,13,0_L_cpc5,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,child(parent(child(felicia))),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,5,0,experiment,NULL,TextInput,answer,Final,w(w(q)),1749028108823.0,116,3,L,Intensional,Abstract,Felicia's enemy's enemy,1749028064896,13,0_L_ee5,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,w(w(q)),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,7,0,experiment,NULL,DropDown,answer,Selected,q,1749028158507.0,5,3,R,Extensional,Abstract,the enemy of the child of Christina,1749028126331,13,0_R_ec0,1,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,h,exp1,,,False,False,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,6,0,experiment,NULL,TextInput,answer,Final,enemy(friend(dana)),1749028191068.0,93,3,L,Intensional,English,Dana's friend's enemy,1749028159024,13,0_L_ef2,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,enemy(friend(dana)),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,10,0,experiment,NULL,TextInput,answer,Final,child(enemy(christina)),1749028220450.0,3,3,R,Intensional,English,the child of the enemy of Christina,1749028191070,13,0_R_ce0,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,child(enemy(christina)),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,17,0,experiment,NULL,TextInput,answer,Final,t(s(k(s))),1749028253086.0,53,4,R,Intensional,Abstract,the child of the friend of the parent of Dana,1749028220453,13,0_R_cfp2,NULL,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,4,t(s(k(s))),exp1,,,True,True,human,False
1749028253,edb0c5b54fbc496e2415c37bda4d4b49,PennController,3,0,experiment,NULL,DropDown,answer,Selected,answer,,81,3,L,Extensional,Abstract,Christina's friend's enemy,1749028108826,13,0_L_ef0,Default,edb0c5b54fbc496e2415c37bda4d4b49,yes,netherlands,,other,Male,other,Turkish,ai,3,v,exp1,,,False,False,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,15,0,experiment,NULL,DropDown,answer,Selected,q,1749028013193.0,65,4,R,Extensional,Abstract,the friend of the friend of the enemy of Elizabeth,1749027920863,13,0_R_ffe4,1,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,4,h,exp1,,,False,False,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,12,0,experiment,NULL,DropDown,answer,Selected,Elizabeth,1749028062993.0,125,4,L,Extensional,English,Amber's friend's friend's enemy,1749028014420,13,0_L_eff1,4,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,4,Elizabeth,exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,17,0,experiment,NULL,TextInput,answer,Final,t(s(k(s))),1749028279114.0,53,4,R,Intensional,Abstract,the child of the friend of the parent of Dana,1749028064241,13,0_R_cfp2,NULL,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,4,t(s(k(s))),exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,4,0,experiment,NULL,DropDown,answer,Selected,Amber,1749028292252.0,87,3,L,Extensional,English,Amber's friend's friend,1749028279115,13,0_L_ff1,0,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,3,Amber,exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,5,0,experiment,NULL,TextInput,answer,Final,w(w(q)),1749028315358.0,116,3,L,Intensional,Abstract,Felicia's enemy's enemy,1749028292942,13,0_L_ee5,NULL,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,3,w(w(q)),exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,8,0,experiment,NULL,DropDown,answer,Selected,Christina,1749028328014.0,11,3,R,Extensional,English,the parent of the enemy of Amber,1749028315359,13,0_R_pe1,2,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,3,Christina,exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,14,0,experiment,NULL,TextInput,answer,Final,child(parent(child(felicia))),1749028379722.0,160,4,L,Intensional,English,Felicia's child's parent's child,1749028328957,13,0_L_cpc5,NULL,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,4,child(parent(child(felicia))),exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,3,0,experiment,NULL,DropDown,answer,Selected,v,1749028395051.0,81,3,L,Extensional,Abstract,Christina's friend's enemy,1749028379723,13,0_L_ef0,4,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,3,v,exp1,,,True,True,human,False
1749028578,d4d0400864911f9bc3e343cc1707edf2,PennController,13,0,experiment,NULL,TextInput,answer,Final,w(t(s(q))),1749028437043.0,152,4,L,Intensional,Abstract,Felicia's friend's child's enemy,1749028396105,13,0_L_ecf5,NULL,d4d0400864911f9bc3e343cc1707edf2,yes,other,Germany,master,Female,other,German,ai,4,w(t(s(q))),exp1,,,True,True,human,False
