Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_efe5,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Autumn's enemy's friend's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Autumn's enemy's friend's enemy,Erin,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_fee4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Erin's enemy's enemy's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's enemy's enemy's friend,Brooke,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_fpf2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Frank's friend's parent's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Frank's friend's parent's friend,Autumn,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_ecp4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Erin's parent's child's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's parent's child's enemy,Frank,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_epe4,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Erin's enemy's parent's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Erin's enemy's parent's enemy,Chad,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_pcp2,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Frank's parent's child's parent? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Frank's parent's child's parent,Brooke,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_cpc3,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Chad's child's parent's child? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Chad's child's parent's child,Daniel,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_eef0,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Daniel's friend's enemy's enemy? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Daniel's friend's enemy's enemy,Frank,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_ffc3,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Chad's child's friend's friend? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Chad's child's friend's friend,Daniel,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
4,L,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_L_pfe5,"Imagine there are six people: Autumn, Brooke, Chad, Daniel, Erin and Frank. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is Chad's enemy's friend?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = Brooke;;2. Brooke's friend = Chad;;;;So the answer is Chad;;;;Now answer the following question:;;Who is Autumn's enemy's friend's parent? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,Autumn's enemy's friend's parent,Brooke,Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Autumn's enemy = Daniel  Autumn's friend = Chad   Daniel's parent = Chad   Autumn's child = Erin   ;;Brooke's enemy = Chad    Brooke's friend = Erin   Erin's parent = Autumn   Brooke's child = Frank  ;;Chad's enemy = Brooke    Chad's friend = Autumn   Frank's parent = Brooke  Chad's child = Daniel   ;;Daniel's enemy = Autumn  Daniel's friend = Frank  ;;Erin's enemy = Frank     Erin's friend = Brooke   ;;Frank's enemy = Erin     Frank's friend = Daniel  
