Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_efe5,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Autumn's enemy's friend's enemy""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Autumn's enemy's friend's enemy,enemy(friend(enemy(autumn))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_fee4,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Erin's enemy's enemy's friend""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Erin's enemy's enemy's friend,friend(enemy(enemy(erin))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_fpf2,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Frank's friend's parent's friend""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Frank's friend's parent's friend,friend(parent(friend(frank))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_ecp4,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Erin's parent's child's enemy""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Erin's parent's child's enemy,enemy(child(parent(erin))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_epe4,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Erin's enemy's parent's enemy""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Erin's enemy's parent's enemy,enemy(parent(enemy(erin))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_pcp2,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Frank's parent's child's parent""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Frank's parent's child's parent,parent(child(parent(frank))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_cpc3,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Chad's child's parent's child""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Chad's child's parent's child,child(parent(child(chad))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_eef0,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Daniel's friend's enemy's enemy""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Daniel's friend's enemy's enemy,enemy(enemy(friend(daniel))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_ffc3,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Chad's child's friend's friend""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Chad's child's friend's friend,friend(friend(child(chad))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
4,L,SemanticApproach.INTENSIONAL,Representation.ENGLISH,0_L_pfe5,English phrases can be translated into formulae. Use the following translations to answer the question.;;;;,";;;;Here is an example of how to get a formula for a phrase.;;What is the formula for ""Chad's enemy's friend""?;;;;Here are the steps to arrive at the answer:;;1. Chad's enemy = enemy(chad);;2. Chad's enemy's friend = friend(enemy(chad));;;;So the answer is friend(enemy(chad));;;;What is the formula for ""Autumn's enemy's friend's parent""? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.",Autumn's enemy's friend's parent,parent(friend(enemy(autumn))),Autumn;;Brooke;;Chad;;Daniel;;Erin;;Frank,Daniel's friend = friend(daniel);;Brooke's friend = friend(brooke);;Frank's enemy = enemy(frank);;Chad's enemy = enemy(chad);;Erin's parent = parent(erin);;Autumn's child = child(autumn)
