Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ef0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the enemy of the friend of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the friend of Christina,v,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_fe0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the friend of the enemy of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the enemy of Christina,q,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ce0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the child of the enemy of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the child of the enemy of Christina,h,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_fc0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the friend of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the child of Christina,s,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ec0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the enemy of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the child of Christina,h,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_pc0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the parent of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the parent of the child of Christina,y,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ff1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the friend of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the friend of Amber,h,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ef1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the enemy of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the friend of Amber,t,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_cf1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the child of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the child of the friend of Amber,v,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
3,R,SemanticApproach.EXTENSIONAL,Representation.ABSTRACT,0_R_ee1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = t;;2. the enemy of Bryan = y;;;;So the answer is y;;;;Now answer the following question:;;Who is the enemy of the enemy of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the enemy of Amber,h,h;;q;;s;;t;;v;;y,Amber = h      the enemy of Amber = v      the friend of Amber = y      the parent of Amber = t      the child of Bryan = h      ;;Bryan = t      the enemy of Bryan = y      the friend of Bryan = q      the parent of Dana = q       the child of Christina = v  ;;Christina = y  the enemy of Christina = t  the friend of Christina = h  the parent of Elizabeth = y  the child of Felicia = s    ;;Dana = s       the enemy of Dana = q       the friend of Dana = v       ;;Elizabeth = v  the enemy of Elizabeth = h  the friend of Elizabeth = s  ;;Felicia = q    the enemy of Felicia = s    the friend of Felicia = t    
