Complexity,Branching,Approach,Representation,questionId,prompt_1,prompt_2,Question,Answer,options,question_universe
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ef0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the enemy of the friend of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the friend of Christina,Elizabeth,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_fe0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the friend of the enemy of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the enemy of Christina,Felicia,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ce0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the child of the enemy of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the child of the enemy of Christina,Amber,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_fc0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the friend of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the child of Christina,Dana,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ec0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the enemy of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the child of Christina,Amber,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_pc0,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the parent of the child of Christina? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the parent of the child of Christina,Christina,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ff1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the friend of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the friend of the friend of Amber,Amber,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ef1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the enemy of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the friend of Amber,Bryan,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_cf1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the child of the friend of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the child of the friend of Amber,Elizabeth,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
3,R,SemanticApproach.EXTENSIONAL,Representation.ENGLISH,0_R_ee1,"Imagine there are six people: Amber, Bryan, Christina, Dana, Elizabeth and Felicia. They have the following relationships to each other:;;;;",;;Here is how to figure out the answer to the following question:;;Who is the enemy of the parent of Amber?;;;;Here are the steps to arrive at the answer:;;1. the parent of Amber = Bryan;;2. the enemy of Bryan = Christina;;;;So the answer is Christina;;;;Now answer the following question:;;Who is the enemy of the enemy of Amber? Please answer the question in the same format as the example. End with 'So the answer is [answer]'.,the enemy of the enemy of Amber,Amber,Amber;;Bryan;;Christina;;Dana;;Elizabeth;;Felicia,the enemy of Amber = Elizabeth  the friend of Amber = Christina  the parent of Amber = Bryan          the child of Bryan = Amber          ;;the enemy of Bryan = Christina  the friend of Bryan = Felicia    the parent of Dana = Felicia         the child of Christina = Elizabeth  ;;the enemy of Christina = Bryan  the friend of Christina = Amber  the parent of Elizabeth = Christina  the child of Felicia = Dana         ;;the enemy of Dana = Felicia     the friend of Dana = Elizabeth   ;;the enemy of Elizabeth = Amber  the friend of Elizabeth = Dana   ;;the enemy of Felicia = Dana     the friend of Felicia = Bryan    
